statn_nm,direction,time_band,svc_type,plan_p50_sec,plan_n
가양,상행,밤,급행,660,20
가양,상행,밤,완행,660,26
가양,상행,밤,전체,595,47
가양,상행,새벽,급행,720,9
가양,상행,새벽,완행,548,10
가양,상행,새벽,전체,310,19
가양,상행,점심,급행,660,38
가양,상행,점심,완행,660,41
가양,상행,점심,전체,210,79
가양,상행,출근,급행,380,24
가양,상행,출근,완행,380,23
가양,상행,출근,전체,200,47
가양,상행,퇴근,급행,410,25
가양,상행,퇴근,완행,410,24
가양,상행,퇴근,전체,345,49
가양,하행,밤,급행,640,32
가양,하행,밤,완행,470,35
가양,하행,밤,전체,215,68
가양,하행,새벽,급행,835,2
가양,하행,새벽,완행,805,7
가양,하행,새벽,전체,745,9
가양,하행,점심,급행,660,41
가양,하행,점심,완행,660,44
가양,하행,점심,전체,195,85
가양,하행,출근,급행,520,20
가양,하행,출근,완행,520,20
가양,하행,출근,전체,190,40
가양,하행,퇴근,급행,482,20
가양,하행,퇴근,완행,482,20
가양,하행,퇴근,전체,205,40
개화,상행,밤,완행,660,25
개화,상행,밤,전체,660,25
개화,상행,새벽,완행,425,11
개화,상행,새벽,전체,425,11
개화,상행,점심,완행,660,41
개화,상행,점심,전체,660,41
개화,상행,출근,완행,410,23
개화,상행,출근,전체,410,23
개화,상행,퇴근,완행,410,23
개화,상행,퇴근,전체,410,23
개화,하행,밤,완행,440,35
개화,하행,밤,전체,440,35
개화,하행,새벽,완행,810,6
개화,하행,새벽,전체,810,6
개화,하행,점심,완행,660,45
개화,하행,점심,전체,660,45
개화,하행,출근,완행,538,18
개화,하행,출근,전체,538,18
개화,하행,퇴근,완행,510,19
개화,하행,퇴근,전체,510,19
고속터미널,상행,밤,급행,660,22
고속터미널,상행,밤,완행,660,27
고속터미널,상행,밤,전체,362,50
고속터미널,상행,새벽,급행,720,7
고속터미널,상행,새벽,완행,720,7
고속터미널,상행,새벽,전체,352,14
고속터미널,상행,점심,급행,660,38
고속터미널,상행,점심,완행,660,38
고속터미널,상행,점심,전체,205,76
고속터미널,상행,출근,급행,380,25
고속터미널,상행,출근,완행,380,26
고속터미널,상행,출근,전체,260,51
고속터미널,상행,퇴근,급행,410,25
고속터미널,상행,퇴근,완행,410,26
고속터미널,상행,퇴근,전체,285,51
고속터미널,하행,밤,급행,660,28
고속터미널,하행,밤,완행,660,32
고속터미널,하행,밤,전체,205,61
고속터미널,하행,새벽,급행,780,4
고속터미널,하행,새벽,완행,780,7
고속터미널,하행,새벽,전체,675,11
고속터미널,하행,점심,급행,660,39
고속터미널,하행,점심,완행,660,42
고속터미널,하행,점심,전체,230,81
고속터미널,하행,출근,급행,380,22
고속터미널,하행,출근,완행,380,23
고속터미널,하행,출근,전체,265,45
고속터미널,하행,퇴근,급행,415,22
고속터미널,하행,퇴근,완행,410,22
고속터미널,하행,퇴근,전체,270,44
공항시장,상행,밤,완행,660,25
공항시장,상행,밤,전체,660,25
공항시장,상행,새벽,완행,458,10
공항시장,상행,새벽,전체,458,10
공항시장,상행,점심,완행,660,41
공항시장,상행,점심,전체,660,41
공항시장,상행,출근,완행,380,23
공항시장,상행,출근,전체,380,23
공항시장,상행,퇴근,완행,410,24
공항시장,상행,퇴근,전체,410,24
공항시장,하행,밤,완행,440,35
공항시장,하행,밤,전체,440,35
공항시장,하행,새벽,완행,832,6
공항시장,하행,새벽,전체,832,6
공항시장,하행,점심,완행,660,45
공항시장,하행,점심,전체,660,45
공항시장,하행,출근,완행,530,19
